Date,PX_LAST
2002/6/18,1238.91
2002/6/19,1245.89
2002/6/20,1239.31
2002/6/21,1242.54
2002/6/24,1236.27
2002/6/25,1237.13
2002/6/26,1239.65
2002/6/27,1233.34
2002/6/28,1229.84
2002/7/1,1229.98
2002/7/2,1231.97
2002/7/3,1231.89
2002/7/5,1225.29
2002/7/8,1230.22
2002/7/9,1235.69
2002/7/10,1241.78
2002/7/11,1239.43
2002/7/12,1241.16
2002/7/15,1237.01
2002/7/16,1230.91
2002/7/17,1235.66
2002/7/18,1238.13
2002/7/19,1238.91
2002/7/22,1241.44
2002/7/23,1240.98
2002/7/24,1235.81
2002/7/25,1236.22
2002/7/26,1230.42
2002/7/29,1220.94
2002/7/30,1222.02
2002/7/31,1225.37
2002/8/1,1231.64
2002/8/2,1237.54
2002/8/5,1232.75
2002/8/6,1226.25
2002/8/7,1231.83
2002/8/8,1227.38
2002/8/9,1234.54
2002/8/12,1234.67
2002/8/13,1240.44
2002/8/14,1243.53
2002/8/15,1237.51
2002/8/16,1230.55
2002/8/19,1234.6
2002/8/20,1247.22
2002/8/21,1247.44
2002/8/22,1245.23
2002/8/23,1249.86
2002/8/26,1251.25
2002/8/27,1248.19
2002/8/28,1252.28
2002/8/29,1255.11
2002/8/30,1257.87
2002/9/3,1265.84
2002/9/4,1267.16
2002/9/5,1269.66
2002/9/6,1261.41
2002/9/9,1260.09
2002/9/10,1265.4
2002/9/11,1261.33
2002/9/12,1268.83
2002/9/13,1274.49
2002/9/16,1276.64
2002/9/17,1277.81
2002/9/18,1276.73
2002/9/19,1280.33
2002/9/20,1278.45
2002/9/23,1280.08
2002/9/24,1277.83
2002/9/25,1272.92
2002/9/26,1274.06
2002/9/27,1278.38
2002/9/30,1281.86
2002/10/1,1276.37
2002/10/2,1278.17
2002/10/3,1277.66
2002/10/4,1275.5
2002/10/7,1273.07
2002/10/8,1264.72
2002/10/9,1264.77
2002/10/10,1258.67
2002/10/11,1255.75
2002/10/15,1246.01
2002/10/16,1242.59
2002/10/17,1238.23
2002/10/18,1238.29
2002/10/21,1235.18
2002/10/22,1235.91
2002/10/23,1236.95
2002/10/24,1242.6
2002/10/25,1246.1
2002/10/28,1250.24
2002/10/29,1259.46
2002/10/30,1259.65
2002/10/31,1264.65
2002/11/1,1261.67
2002/11/4,1263.81
2002/11/5,1263.69
2002/11/6,1269.41
2002/11/7,1279.53
2002/11/8,1282.21
2002/11/12,1281.14
2002/11/13,1282.04
2002/11/14,1277.21
2002/11/15,1282.61
2002/11/18,1287.14
2002/11/19,1289.19
2002/11/20,1283.47
2002/11/21,1282.63
2002/11/22,1280.65
2002/11/25,1281.18
2002/11/26,1287.67
2002/11/27,1278.97
2002/11/29,1284.42
2002/12/2,1286.1
2002/12/3,1285.46
2002/12/4,1287.91
2002/12/5,1291.13
2002/12/6,1291.53
2002/12/9,1294.45
2002/12/10,1294.5
2002/12/11,1298.84
2002/12/12,1299.96
2002/12/13,1300.38
2002/12/16,1297.34
2002/12/17,1300.02
2002/12/18,1304.85
2002/12/19,1310.73
2002/12/20,1311.28
2002/12/23,1310.52
2002/12/24,1313.43
